"vnum"	"name"	"locale_name"	"type"	"subtype"	"stack"	"weight"	"size"	"antiflag"	"flag"	"wearflag"	"immuneflag"	"gold"	"shop_buy_price"	"refined_vnum"	"refine_set"	"magic_pct"	"specular"	"socket_pct"	"addon_type"	"limittype0"	"limitvalue0"	"limittype1"	"limitvalue1"	"applytype0"	"applyvalue0"	"applytype1"	"applyvalue1"	"applytype2"	"applyvalue2"	"value0"	"value1"	"value2"	"value3"	"value4"	"value5"	"socket0"	"socket1"	"socket2"	"socket3"	"socket4"	"socket5"
"1"	"µ·˛Ů·ŻąĚ"	"Yang"	"9"	"0"	"200"	"0"	"1"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"2"	"ÇŃ±ąą«˝ÖąöÁŻ"	"Mt2009"	"0"	"0"	"200"	"0"	"1"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"10"	"Miecz+0"	"Miecz+0"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"0"	"0"	"11"	"361"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"17"	"22"	"0"	"0"	"0"	"0"	"0"	"15"	"19"	"13"	"15"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"11"	"µµ+1"	"Miecz+1"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"100"	"100"	"12"	"362"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"17"	"22"	"0"	"0"	"0"	"0"	"0"	"15"	"19"	"13"	"15"	"7"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"12"	"µµ+2"	"Miecz+2"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"100"	"100"	"13"	"363"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"17"	"22"	"0"	"0"	"0"	"0"	"0"	"15"	"19"	"13"	"15"	"14"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"13"	"µµ+3"	"Miecz+3"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"150"	"150"	"14"	"364"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"17"	"22"	"0"	"0"	"0"	"0"	"0"	"15"	"19"	"13"	"15"	"21"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"14"	"µµ+4"	"Miecz+4"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"150"	"150"	"15"	"365"	"3"	"30"	"1"	"0"	"1"	"0"	"0"	"0"	"17"	"22"	"0"	"0"	"0"	"0"	"0"	"15"	"19"	"13"	"15"	"28"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"15"	"µµ+5"	"Miecz+5"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"200"	"200"	"16"	"366"	"3"	"40"	"1"	"0"	"1"	"0"	"0"	"0"	"17"	"22"	"0"	"0"	"0"	"0"	"0"	"15"	"19"	"13"	"15"	"35"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"16"	"µµ+6"	"Miecz+6"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"250"	"250"	"17"	"367"	"3"	"50"	"1"	"0"	"1"	"0"	"0"	"0"	"17"	"22"	"0"	"0"	"0"	"0"	"0"	"15"	"19"	"13"	"15"	"42"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"17"	"µµ+7"	"Miecz+7"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"350"	"350"	"18"	"368"	"3"	"65"	"1"	"0"	"1"	"0"	"0"	"0"	"17"	"22"	"0"	"0"	"0"	"0"	"0"	"15"	"19"	"13"	"15"	"49"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
